wavelength_nm,sigma_abs_m2,sigma_em_m2
900,7.138988e-25,1.895744e-26
901,7.291662e-25,1.959169e-26
902,7.436301e-25,2.024300e-26
903,7.572102e-25,2.091171e-26
904,7.698224e-25,2.159815e-26
905,7.813802e-25,2.230265e-26
906,7.917953e-25,2.302555e-26
907,8.009787e-25,2.376719e-26
908,8.088427e-25,2.452792e-26
909,8.153017e-25,2.530808e-26
910,8.202747e-25,2.610804e-26
911,8.236869e-25,2.692815e-26
912,8.254715e-25,2.776877e-26
913,8.255720e-25,2.863028e-26
914,8.239435e-25,2.951303e-26
915,8.205549e-25,3.041742e-26
916,8.153902e-25,3.134382e-26
917,8.084495e-25,3.229261e-26
918,7.997503e-25,3.326420e-26
919,7.893281e-25,3.425896e-26
920,7.772360e-25,3.527731e-26
921,7.635454e-25,3.631964e-26
922,7.483447e-25,3.738637e-26
923,7.317384e-25,3.847791e-26
924,7.138460e-25,3.959469e-26
925,6.948003e-25,4.073712e-26
926,6.747450e-25,4.190564e-26
927,6.538331e-25,4.310068e-26
928,6.322237e-25,4.432268e-26
929,6.100803e-25,4.557207e-26
930,5.875677e-25,4.684932e-26
931,5.648497e-25,4.815488e-26
932,5.420864e-25,4.948920e-26
933,5.194325e-25,5.085275e-26
934,4.970345e-25,5.224603e-26
935,4.750296e-25,5.366952e-26
936,4.535440e-25,5.512375e-26
937,4.326918e-25,5.660930e-26
938,4.125745e-25,5.812681e-26
939,3.932809e-25,5.967704e-26
940,3.748870e-25,6.126091e-26
941,3.574573e-25,6.287960e-26
942,3.410455e-25,6.453472e-26
943,3.256964e-25,6.622842e-26
944,3.114477e-25,6.796372e-26
945,2.983324e-25,6.974484e-26
946,2.863807e-25,7.157766e-26
947,2.756229e-25,7.347036e-26
948,2.660909e-25,7.543415e-26
949,2.578199e-25,7.748420e-26
950,2.508489e-25,7.964071e-26
951,2.452204e-25,8.193011e-26
952,2.409786e-25,8.438631e-26
953,2.381663e-25,8.705193e-26
954,2.368197e-25,8.997934e-26
955,2.369624e-25,9.323140e-26
956,2.385981e-25,9.688154e-26
957,2.417018e-25,1.010131e-25
958,2.462121e-25,1.057178e-25
959,2.520236e-25,1.110923e-25
960,2.589818e-25,1.172356e-25
961,2.668844e-25,1.242463e-25
962,2.755020e-25,1.322366e-25
963,2.846629e-25,1.414039e-25
964,2.945342e-25,1.522945e-25
965,3.064048e-25,1.665648e-25
966,3.244777e-25,1.887484e-25
967,3.590672e-25,2.294287e-25
968,4.304781e-25,3.090936e-25
969,5.702764e-25,4.593870e-25
970,8.140608e-25,7.158664e-25
971,1.181382e-24,1.097917e-24
972,1.647953e-24,1.580968e-24
973,2.128902e-24,2.079754e-24
974,2.495268e-24,2.464842e-24
975,2.627244e-24,2.615897e-24
976,2.475932e-24,2.483476e-24
977,2.090824e-24,2.116545e-24
978,1.592285e-24,1.634993e-24
979,1.109756e-24,1.167871e-24
980,7.284916e-25,8.001476e-25
981,4.730345e-25,5.562009e-25
982,3.239587e-25,4.165632e-25
983,2.456571e-25,3.457045e-25
984,2.064317e-25,3.121100e-25
985,1.857407e-25,2.955058e-25
986,1.729498e-25,2.855876e-25
987,1.634809e-25,2.781430e-25
988,1.556412e-25,2.718565e-25
989,1.488569e-25,2.665206e-25
990,1.429120e-25,2.622567e-25
991,1.376840e-25,2.592383e-25
992,1.330713e-25,2.576096e-25
993,1.289781e-25,2.574682e-25
994,1.253149e-25,2.588659e-25
995,1.220006e-25,2.618148e-25
996,1.189638e-25,2.662953e-25
997,1.161441e-25,2.722636e-25
998,1.134911e-25,2.796585e-25
999,1.109647e-25,2.884078e-25
1000,1.085329e-25,2.984318e-25
1001,1.061717e-25,3.096472e-25
1002,1.038628e-25,3.219679e-25
1003,1.015935e-25,3.353057e-25
1004,9.935438e-26,3.495696e-25
1005,9.713952e-26,3.646649e-25
1006,9.494502e-26,3.804914e-25
1007,9.276867e-26,3.969417e-25
1008,9.060939e-26,4.139006e-25
1009,8.846693e-26,4.312434e-25
1010,8.634156e-26,4.488358e-25
1011,8.423391e-26,4.665338e-25
1012,8.214481e-26,4.841845e-25
1013,8.007522e-26,5.016273e-25
1014,7.802614e-26,5.186958e-25
1015,7.599861e-26,5.352200e-25
1016,7.399363e-26,5.510294e-25
1017,7.201218e-26,5.659553e-25
1018,7.005523e-26,5.798349e-25
1019,6.812365e-26,5.925141e-25
1020,6.621831e-26,6.038509e-25
1021,6.433999e-26,6.137185e-25
1022,6.248945e-26,6.220084e-25
1023,6.066736e-26,6.286325e-25
1024,5.887437e-26,6.335257e-25
1025,5.711105e-26,6.366469e-25
1026,5.537794e-26,6.379802e-25
1027,5.367551e-26,6.375352e-25
1028,5.200419e-26,6.353466e-25
1029,5.036434e-26,6.314734e-25
1030,4.875630e-26,6.259973e-25
1031,4.718034e-26,6.190207e-25
1032,4.563669e-26,6.106639e-25
1033,4.412553e-26,6.010628e-25
1034,4.264700e-26,5.903651e-25
1035,4.120119e-26,5.787273e-25
1036,3.978815e-26,5.663110e-25
1037,3.840789e-26,5.532799e-25
1038,3.706039e-26,5.397958e-25
1039,3.574557e-26,5.260163e-25
1040,3.446332e-26,5.120915e-25
1041,3.321351e-26,4.981618e-25
1042,3.199597e-26,4.843558e-25
1043,3.081048e-26,4.707887e-25
1044,2.965680e-26,4.575612e-25
1045,2.853468e-26,4.447586e-25
1046,2.744381e-26,4.324509e-25
1047,2.638387e-26,4.206926e-25
1048,2.535452e-26,4.095233e-25
1049,2.435538e-26,3.989684e-25
1050,2.338607e-26,3.890404e-25
1051,2.244617e-26,3.797397e-25
1052,2.153526e-26,3.710564e-25
1053,2.065288e-26,3.629717e-25
1054,1.979857e-26,3.554589e-25
1055,1.897186e-26,3.484859e-25
1056,1.817225e-26,3.420154e-25
1057,1.739923e-26,3.360075e-25
1058,1.665231e-26,3.304198e-25
1059,1.593094e-26,3.252095e-25
1060,1.523460e-26,3.203337e-25
1061,1.456275e-26,3.157504e-25
1062,1.391485e-26,3.114193e-25
1063,1.329035e-26,3.073024e-25
1064,1.268870e-26,3.033640e-25
1065,1.210934e-26,2.995715e-25
1066,1.155172e-26,2.958951e-25
1067,1.101528e-26,2.923080e-25
1068,1.049946e-26,2.887868e-25
1069,1.000372e-26,2.853108e-25
1070,9.527490e-27,2.818622e-25
1071,9.070230e-27,2.784260e-25
1072,8.631392e-27,2.749895e-25
1073,8.210434e-27,2.715424e-25
1074,7.806820e-27,2.680766e-25
1075,7.420017e-27,2.645856e-25
1076,7.049501e-27,2.610647e-25
1077,6.694754e-27,2.575106e-25
1078,6.355264e-27,2.539212e-25
1079,6.030527e-27,2.502955e-25
1080,5.720048e-27,2.466333e-25
1081,5.423340e-27,2.429355e-25
1082,5.139925e-27,2.392032e-25
1083,4.869332e-27,2.354382e-25
1084,4.611103e-27,2.316429e-25
1085,4.364786e-27,2.278198e-25
1086,4.129940e-27,2.239717e-25
1087,3.906136e-27,2.201017e-25
1088,3.692952e-27,2.162129e-25
1089,3.489979e-27,2.123087e-25
1090,3.296815e-27,2.083924e-25
1091,3.113072e-27,2.044675e-25
1092,2.938369e-27,2.005372e-25
1093,2.772339e-27,1.966051e-25
1094,2.614624e-27,1.926745e-25
1095,2.464874e-27,1.887487e-25
1096,2.322752e-27,1.848309e-25
1097,2.187932e-27,1.809244e-25
1098,2.060096e-27,1.770323e-25
1099,1.938938e-27,1.731575e-25
1100,1.824161e-27,1.693030e-25
